restaurant_name,rating,total_ratings,address,place_id,opening_hours,review_author,review_rating,review_text,review_time,review_language,sentiment_compound,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_label
Clayton Hotel Birmingham,4.3,2935.0,"Clayton Hotel, Albert St, Birmingham B5 5JE, UK",ChIJF5clh4O8cEgR-EskG0QqegY,,Agnes So,1.0,"It was one of the most uncomfortable stays ever in a hotel. We had booked two rooms, the air conditioning and air circulation system in BOTH rooms were NOT working. It got so hot  inside that the temperature in the rooms reached 29C, so you can imagine how badly we all slept that night.

I emailed the hotel and the corporate group about the issue but have not received a response from anyone.

I would recommend anyone heading to Birmingham to stay far, far away from this hotel and pay a little more or pay a little less and go with another option. It was not a cheap room by any means and they didn’t even have the courtesy to respond to my email.",2025-07-07 15:29:57,en,0.3619,0.058,0.881,0.062,Positive
Clayton Hotel Birmingham,4.3,2935.0,"Clayton Hotel, Albert St, Birmingham B5 5JE, UK",ChIJF5clh4O8cEgR-EskG0QqegY,,Richard Holborow,4.0,"Great hotel located in the centre of Birmingham. I’ve stayed at the Clayton hotels across the UK. This has to be one of the best. It’s location is perfect if you are working or looking to spend some social time in Birmingham city Centre.

The rooms are relatively spacious with good bathroom and shower facilities. I was a little concerned that the work that is ongoing next to the hotel for HS2 would disrupt my stay, but actually the rooms are well soundproof.

Whilst the dinner options are basic and limited, they are good quality. The breakfast offered a good range of hot and cold, although my only criticism is that they were very slow to top of the hot options once they became empty. This was noticed on two consecutive days to the buffet. Hence my 4. Stars.

The reception staff were exceptionally helpful on arrival and departure.",2025-06-09 06:47:02,en,0.9527,0.05,0.793,0.157,Positive
Premier Inn Birmingham City Centre (New St Station) hotel,4.3,1546.0,"Exchange Buildings, Stephenson Pl, Birmingham B2 4NH, UK",ChIJsRXghou8cEgRGrn5-ck4Ufs,,Parminder Doal,4.0,"Rooms were very well ready for my use, everything was put in place just the way I would want it on arrival, clean and tidy. The Premier Plus rooms had everything I needed: kettle, mini-fridge, water bottles, showering equipment etc.
Very convenient location: shops, public transport links, and other conveniences within walking distance and was seemingly safe in terms of security.
Great value for money.
Although staff were very friendly, helpful and assisting when they were there, there were many occasions when there was absolutely nobody at the front desk, so waiting for someone to be able to assist you at all was often a matter of waiting 10 minutes (approx), so I would suggest having 2 people at the front desk for each shift always, so even if 1 is gone away, the other will still be there. I would also suggest having in-room telephones.
The only other slightly disappointing factor was if we are staying more than 1 night, housekeeping is not done in the room unless requested before 12pm, which I didn’t realise until after that, and I wished the cups and mugs were changed and stock on water bottles and chocolate were replenished.
Overall, I do recommend this hotel since it meets 80-90% of average expectations, just those few little factors need working on: staff presence, telephone and housekeeping.",2025-07-11 18:31:32,en,0.9757,0.012,0.854,0.134,Positive
Premier Inn Birmingham City Centre (New St Station) hotel,4.3,1546.0,"Exchange Buildings, Stephenson Pl, Birmingham B2 4NH, UK",ChIJsRXghou8cEgRGrn5-ck4Ufs,,Richard Shroyer,5.0,"Our stay at this hotel was excellent.  The location is perfect for train travellers.  It is right off of New Street, with lots of restaurants, cafes and shops. Easy walking distance to Gas Station Basin, Jewelry Quarter, Bullring, etc. Crowded, high-energy area, but safe and quiet inside the hotel. Our room was larger than expected and very clean and comfortable.  Front desk staff were very helpful overall, though some seemed happier about it than others.  Continental breakfast was good and presented in a very pleasant area.  I would definitely stay here again.",2025-05-28 02:21:49,en,0.9914,0.0,0.662,0.338,Positive
Premier Inn Birmingham City Centre (New St Station) hotel,4.3,1546.0,"Exchange Buildings, Stephenson Pl, Birmingham B2 4NH, UK",ChIJsRXghou8cEgRGrn5-ck4Ufs,,Sam Wilson,5.0,"Amazing stay! In a busy city it's hard to find a quiet hotel, but this really was. The team were lovey, especially Emma! Couldn't do enough for me including storing and looking after bags and setting me up with a place to work. Highly recommend",2025-07-03 12:41:10,en,0.756,0.026,0.832,0.142,Positive
Premier Inn Birmingham City Centre (New St Station) hotel,4.3,1546.0,"Exchange Buildings, Stephenson Pl, Birmingham B2 4NH, UK",ChIJsRXghou8cEgRGrn5-ck4Ufs,,Chris Jeffery,5.0,"I had one of the newly refurbished Evolution style rooms on the 6th floor. My room was comfortable, clean, and quiet. The air conditioning was excellent and I didn’t hear much noise from adjacent rooms or the corridor outside. The hotel was ideally located for New Street station. I’d definitely stay here again.",2025-07-08 08:32:56,en,0.9349,0.0,0.752,0.248,Positive
Premier Inn Birmingham City Centre (New St Station) hotel,4.3,1546.0,"Exchange Buildings, Stephenson Pl, Birmingham B2 4NH, UK",ChIJsRXghou8cEgRGrn5-ck4Ufs,,Susan Wing,5.0,"First time staying here - for a trip to the Symphony Hall.
As always at a Premier Inn the rooms were clean and the staff were lovely.
We didn't eat here, but sometimes we do the meal deal which is excellent value.
Room was very quiet and we slept well.
Great location - close to the railway station and 15 minutes walk to Broad Street.",2025-06-07 09:04:59,en,0.967,0.0,0.727,0.273,Positive
Britannia Hotel Birmingham,2.5,2138.0,"New St, Birmingham B2 4RX, UK",ChIJ1SFAVIm8cEgRhSSg3OwAl2Y,"[""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]",SamT,2.0,"The entrance to the hotel looked like a crack den, the rooms have no AC, rubbish was left everywhere in the room when I checked in, fake tan smeared across the bathroom (including the half used micro soap bottles) and to top it all off the bed was so uncomfortable I found it very difficult to sleep above the noise from the street below; there are no bones to throw for this hotel.

At £100+ for a single room, do yourself a favour and stay in the Travelodge around the corner instead.",2025-07-10 19:57:22,en,-0.755,0.137,0.791,0.072,Negative
Britannia Hotel Birmingham,2.5,2138.0,"New St, Birmingham B2 4RX, UK",ChIJ1SFAVIm8cEgRhSSg3OwAl2Y,"[""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]",Bernadett Merling,1.0,"I believe that the hotel staff—including not only the cleaners, but also the housekeeping supervisor and the manager—need proper training. Just because a hotel is in a lower price category, it doesn’t mean that the room should be handed over to a new guest in a dirty condition.

In the bathroom, the shower cabin had water spots, it hadn’t been cleaned or sprayed with cleaning products. The shower head and the tap were also covered in water spots and limescale, and the mirror was spotty too. There were black hairs in the shower cabin (and I have blonde hair, so they definitely weren’t mine).

When I lifted the toilet seat, there were urine stains underneath. The cupboard was covered in a thick layer of dust—not just a few days’ worth, but clearly much older.

The attached photos and videos speak for themselves.",2025-07-10 01:50:05,en,0.4969,0.046,0.886,0.068,Positive
Britannia Hotel Birmingham,2.5,2138.0,"New St, Birmingham B2 4RX, UK",ChIJ1SFAVIm8cEgRhSSg3OwAl2Y,"[""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]",Stephanie B,2.0,The room was big. That's all. There was no body wash. Only 1 small towel and one medium size towel. The hand wash was 2 tiny squeezable plastic tubes. I didn't book it and will not stay there again. The TV was constantly updating.  Its not for me. Sorry but I won't pretend each to their own. I always bring my own provisions .,2025-03-17 08:29:37,en,0.2628,0.027,0.896,0.077,Positive
Britannia Hotel Birmingham,2.5,2138.0,"New St, Birmingham B2 4RX, UK",ChIJ1SFAVIm8cEgRhSSg3OwAl2Y,"[""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]",Hiba Yousuf,1.0,I wish I could give zero star to this hotel. They are total scam so plz stay away from this. Pictures advertised are fake and you will be disappointed by the filthy rooms and poor service. They offered us a room with no window ( temperature outside was around 30 degrees) which I refused on the spot. They gave us another room which was on 8th floor. It was so hot and had to keep windows open so could hear everything from outside. I couldnt sleep even a single night as have to keep the windows open. When asked for a fan they flately refused. Stay away at all costs,2025-07-02 14:03:21,en,-0.9163,0.166,0.777,0.057,Negative
Britannia Hotel Birmingham,2.5,2138.0,"New St, Birmingham B2 4RX, UK",ChIJ1SFAVIm8cEgRhSSg3OwAl2Y,"[""Monday: Open 24 hours"", ""Tuesday: Open 24 hours"", ""Wednesday: Open 24 hours"", ""Thursday: Open 24 hours"", ""Friday: Open 24 hours"", ""Saturday: Open 24 hours"", ""Sunday: Open 24 hours""]",Ryan Clark,3.0,"The room and hotel is outdated and very basic. It’s ok if you just using it as a place to crash for a night, I checked in at 9pm and checked out before 9am. It was quiet and good location but I wouldn’t recommend if you are staying for a few days here.",2025-06-10 08:03:30,en,0.6227,0.035,0.834,0.131,Positive
San Carlo - Birmingham,4.1,1657.0,"4 Temple St, Birmingham B2 5BN, UK",ChIJj9BEoY68cEgROLMAHbHCNVg,"[""Monday: 12:00 – 10:00 PM"", ""Tuesday: 12:00 – 10:00 PM"", ""Wednesday: 12:00 – 10:00 PM"", ""Thursday: 12:00 – 10:00 PM"", ""Friday: 12:00 – 11:00 PM"", ""Saturday: 12:00 – 11:00 PM"", ""Sunday: 12:00 – 10:00 PM""]",Funki Foods,3.0,"We arrived and had to wait a little while for our table, along with quite a few others, so the entrance area felt a bit crowded.

The espresso martini had a great coffee flavour but lacked the usual punch you’d expect from a classic martini.

The oysters were fabulous—nice and big, just how we like them!

The pizza, unfortunately, was a bit underwhelming. It was light on toppings, which made it lack flavor. We also tried the seafood grill main, which really could’ve used some salt, garlic, and chili to bring it to life.

That said, the restaurant itself is beautiful—great atmosphere and setting.",2025-05-24 19:40:21,en,-0.1386,0.06,0.886,0.055,Negative
San Carlo - Birmingham,4.1,1657.0,"4 Temple St, Birmingham B2 5BN, UK",ChIJj9BEoY68cEgROLMAHbHCNVg,"[""Monday: 12:00 – 10:00 PM"", ""Tuesday: 12:00 – 10:00 PM"", ""Wednesday: 12:00 – 10:00 PM"", ""Thursday: 12:00 – 10:00 PM"", ""Friday: 12:00 – 11:00 PM"", ""Saturday: 12:00 – 11:00 PM"", ""Sunday: 12:00 – 10:00 PM""]",Jonners UK,5.0,"Have dined many times at San Carlo over the years living in Birmingham. Food is always good. Wine list caters to all budgets. And they have great seafood dishes.

There are two levels to the restaurant and we were sat at a table tucked away which was great. Lots of mirrors with a ceiling full of artificial roses. It’s over the top but suits the venue and adds to the experience.

Great wine. Lots of Italian choices. We had a couple bottles of the primitivo after a round of negronis (pleased an Italian place can make these well too)

My starter was overdone under the grill. I’ve had the baked aubergine parmagiano many times and this unfortunately wasn’t their best. Monkfish tagliatelle and the shared dessert more than made up for it.

The dessert was three mini portions per person and a limoncello shot for £9 each. Great value.

Will look forward to my next visit.",2025-04-27 15:13:05,en,0.9845,0.02,0.786,0.193,Positive
San Carlo - Birmingham,4.1,1657.0,"4 Temple St, Birmingham B2 5BN, UK",ChIJj9BEoY68cEgROLMAHbHCNVg,"[""Monday: 12:00 – 10:00 PM"", ""Tuesday: 12:00 – 10:00 PM"", ""Wednesday: 12:00 – 10:00 PM"", ""Thursday: 12:00 – 10:00 PM"", ""Friday: 12:00 – 11:00 PM"", ""Saturday: 12:00 – 11:00 PM"", ""Sunday: 12:00 – 10:00 PM""]",Goldie 86,5.0,"Great food apart from the tomato bruschetta - no flavour and seemed if was rushed it lacked taste but everything else was delish.

The waitress was quite passive aggressive and rude. I wish I didn’t pay the service charge. She was very intimidating. No people skills. Other staff were great.",2025-05-05 14:53:33,en,-0.1618,0.249,0.541,0.21,Negative
